10000 19999
3548 6202 8120.5989
3548 2779 8654.0416
2779 7749 3622.6083
3548 5449 8912.5750
5449 1856 7668.8337
1856 2525 2575.3710
1856 2979 6657.6406
6202 3397 3208.6370
2525 4080 3195.4157
1856 9607 5276.7602
3397 8965 3310.3568
5449 2367 4122.1812
2525 4520 6724.1751
8965 3467 9247.9822
2367 583 5730.5654
4520 9874 6547.1595
8965 7210 9621.7734
7210 3667 781.5284
2779 1607 5066.6700
3548 9377 1546.2147
3548 5247 2756.1703
5247 2564 2530.1704
2779 2755 7181.8090
5449 3638 8043.1385
5449 8187 1690.0870
2564 5144 8850.2792
4080 7299 6466.6244
2755 8313 3766.6108
2755 9732 6846.1519
2779 6011 2645.0416
6202 9148 9958.8718
3548 8082 7680.3437
9874 640 8207.6709
8187 1721 8735.1438
9607 2557 4427.5174
640 1152 2071.3701
2525 4816 7318.7921
8187 6495 8612.6968
7210 9622 900.8428
3397 4069 8389.2006
1607 8263 3390.7505
6495 5961 6740.4056
4069 2184 6887.3135
9874 1112 9253.4199
6495 4129 2252.9633
8263 6325 5020.0572
8965 5106 4039.5921
6011 2762 6726.7753
3667 1908 2861.7513
2779 8227 7800.9139
8313 4884 710.3121
2564 416 4528.3102
2557 8811 7760.6192
2979 1930 8136.8566
4520 6183 5108.0705
3638 8727 6763.5783
416 4089 2995.5668
4520 6742 8043.4024
8313 8337 9478.5764
3638 3430 6122.8911
4520 2515 4048.2204
3548 4003 8330.7133
1856 9853 230.8985
4816 4373 8976.6549
8082 5295 9906.5511
416 4292 9951.0933
4129 421 9294.6177
7210 555 7945.6241
9607 5689 8185.2173
8727 4644 4007.4528
4816 82 2830.6985
8227 6835 3578.7425
2564 5928 3558.7594
2762 4716 3943.8230
8727 4781 7543.0153
8727 6230 8490.8468
8337 2000 934.5284
6742 9176 9263.8055
7749 5174 28.8970
4003 6049 9609.0407
5106 577 2788.0377
4644 5443 7313.5458
8337 4871 4424.9741
5449 3094 8097.5363
6183 4108 2297.4547
9377 1655 3834.4264
82 6258 7432.4696
6011 9369 1389.8053
9148 7956 2211.8387
2557 5910 7089.8204
3397 529 1595.9911
9377 5824 1110.5599
5144 9119 7848.2527
6325 188 8156.7003
2367 6824 6815.2804
4781 1740 1701.1234
2979 1068 3773.5786
1930 8429 9224.7551
7299 767 9636.8148
2557 5964 4179.9025
4871 8369 1218.8866
6183 6719 4538.4377
577 9214 7516.2392
3667 2409 7341.9348
9874 5912 656.1690
3548 9343 8713.6857
8369 8594 7335.3042
1152 9026 6021.5627
6824 4257 78.5826
5961 8587 3077.4565
767 800 1945.1530
188 3194 8710.7972
8337 7247 3657.4397
8811 9511 342.8116
577 8596 278.5713
5910 512 5549.8344
2557 4776 8882.8197
4644 7548 1816.3574
9511 4820 1140.0203
3430 1313 4137.1759
4292 2092 9988.7162
5295 7241 341.7057
82 899 4096.8556
8313 5134 6391.7769
2979 6595 9166.5868
1655 7124 2370.5035
9176 3556 3870.3080
3094 7159 9202.4915
7247 8510 8772.9836
8811 2713 8024.6780
577 7432 4012.7127
767 1632 3908.0056
