100 149
28 46 71.9130
46 95 12.9766
95 8 43.5952
8 30 71.8176
30 3 70.5744
28 36 44.6448
36 22 44.5624
28 43 23.6856
46 23 66.7398
46 66 94.0393
8 90 37.6531
46 15 21.6989
15 99 40.9252
3 25 27.8051
25 41 30.0328
90 26 41.7250
30 13 51.4324
41 97 40.2957
15 16 32.5561
95 78 79.1058
43 48 45.5772
78 40 95.9681
36 27 45.4682
99 92 29.7313
25 53 45.0716
99 72 87.4025
30 76 47.9625
30 4 37.0978
97 84 66.4396
72 35 12.4387
41 5 27.6549
84 74 60.0599
28 63 67.6100
28 71 9.6495
95 55 63.6471
5 98 60.8906
23 2 94.4259
95 93 73.1732
95 62 95.1872
92 11 29.1093
66 12 72.6971
84 39 69.8631
43 32 34.2049
25 88 16.4887
8 68 33.3444
46 80 1.4585
99 60 23.2074
66 47 86.8600
27 85 48.1862
26 77 86.7116
68 59 62.1255
3 54 93.1090
84 37 41.0570
4 70 66.7828
98 79 98.3370
74 14 5.6240
25 10 62.9972
40 61 90.5644
66 31 35.3050
63 83 72.0972
85 94 65.6160
88 24 40.4087
10 82 53.7300
12 42 50.6161
28 45 3.8616
92 38 32.8860
59 52 96.5504
41 34 23.8091
13 67 51.7564
2 33 88.8479
14 17 26.2006
53 9 65.5321
66 96 51.6245
35 57 96.8066
62 29 36.4624
3 1 40.5615
8 20 41.8530
71 58 24.5196
24 65 6.5981
85 87 35.4210
61 18 20.7187
26 73 54.6338
22 6 45.1067
93 50 73.6961
73 75 29.4073
62 81 15.1019
48 64 1.0772
23 69 22.8987
87 49 96.1905
10 21 10.7836
49 44 52.1432
26 56 63.0990
54 91 88.6587
3 89 24.4094
5 7 7.8487
59 19 98.9994
22 51 44.2088
22 86 2.8752
44 0 19.2374
33 3 46.1123
86 21 26.7298
33 83 61.1241
97 21 81.1904
73 91 14.6422
73 90 29.5126
41 96 7.1985
70 95 12.1738
69 1 82.8520
48 45 8.8431
77 75 73.6718
89 93 88.4679
19 37 45.6010
54 8 61.9870
73 43 4.9277
61 37 31.1101
84 28 7.6520
50 47 88.7113
1 76 40.5498
38 61 30.3522
92 41 49.7677
85 43 56.9292
57 21 93.8205
83 91 13.9333
74 35 47.5670
92 84 14.6379
25 22 63.4156
18 15 25.2050
32 1 15.4684
11 40 74.2418
54 86 4.4669
51 50 41.1606
21 33 38.9987
69 78 55.5004
43 44 84.1273
98 82 66.6110
59 30 73.0848
74 22 90.9080
19 76 9.8261
12 29 68.2015
66 22 96.5732
39 80 59.8221
86 80 43.5290
12 35 28.0792
19 79 4.8659
53 47 96.5706
21 14 8.7752
51 68 96.3833
78 90 89.3002
53 74 30.4806
